data,ano,mes,dia,produto,unidade,categoria,preco_medio,preco_minimo,preco_maximo,num_cotacoes,arquivo
2001-08-01,2001,8,1,Algodão em caroço,arroba,Grãos,8.21,8.2,8.3,8,
2001-08-01,2001,8,1,Arroz em casca tipo 1,sc 60 Kg,Grãos,15.08,13.0,18.0,9,
2001-08-01,2001,8,1,Boi em pé,arroba,Pecuária,40.58,38.0,43.0,18,
2001-08-01,2001,8,1,Café em coco,kg renda,Café,1.47,1.4,1.54,10,
2001-08-01,2001,8,1,Erva-mate folha em barranco,arroba,Florestal,3.31,2.4,3.8,8,
2001-08-01,2001,8,1,Feijão carioca tipo 1,sc 60 Kg,Grãos,51.82,41.0,60.0,11,
2001-08-01,2001,8,1,Feijão preto tipo 1,sc 60 Kg,Grãos,66.0,60.0,75.0,9,
2001-08-01,2001,8,1,Frango de corte,kg,Pecuária,0.96,0.78,1.3,7,
2001-08-01,2001,8,1,Milho amarelo tipo 1,sc 60 Kg,Grãos,8.91,7.5,10.0,18,
2001-08-01,2001,8,1,Soja industrial tipo 1,sc 60 Kg,Grãos,23.22,22.0,26.0,18,
2001-08-01,2001,8,1,Suíno vivo,kg,Pecuária,1.33,1.18,1.42,17,
2001-08-01,2001,8,1,Trigo pão,sc 60 Kg,Grãos,16.53,16.0,17.4,13,
2001-08-01,2001,8,1,Vaca em pé,arroba,Pecuária,36.53,34.0,39.0,18,
2001-08-02,2001,8,2,Algodão em caroço,arroba,Grãos,8.21,8.2,8.3,8,
2001-08-02,2001,8,2,Arroz em casca tipo 1,sc 60 Kg,Grãos,15.08,13.0,18.0,9,
2001-08-02,2001,8,2,Boi em pé,arroba,Pecuária,40.72,38.0,43.0,18,
2001-08-02,2001,8,2,Café em coco,kg renda,Café,1.47,1.4,1.54,10,
2001-08-02,2001,8,2,Erva-mate folha em barranco,arroba,Florestal,3.31,2.4,3.8,8,
2001-08-02,2001,8,2,Feijão carioca tipo 1,sc 60 Kg,Grãos,52.45,41.0,60.0,11,
2001-08-02,2001,8,2,Feijão preto tipo 1,sc 60 Kg,Grãos,67.67,60.0,75.0,9,
2001-08-02,2001,8,2,Frango de corte,kg,Pecuária,0.96,0.78,1.3,7,
2001-08-02,2001,8,2,Milho amarelo tipo 1,sc 60 Kg,Grãos,8.92,7.5,10.0,18,
2001-08-02,2001,8,2,Soja industrial tipo 1,sc 60 Kg,Grãos,23.4,22.0,25.0,18,
2001-08-02,2001,8,2,Suíno vivo,kg,Pecuária,1.32,1.18,1.4,17,
2001-08-02,2001,8,2,Trigo pão,sc 60 Kg,Grãos,16.53,16.0,17.4,13,
2001-08-02,2001,8,2,Vaca em pé,arroba,Pecuária,36.61,34.0,39.0,18,
2001-08-03,2001,8,3,Algodão em caroço,arroba,Grãos,8.21,8.2,8.3,8,
2001-08-03,2001,8,3,Arroz em casca tipo 1,sc 60 Kg,Grãos,14.97,13.0,18.0,9,
2001-08-03,2001,8,3,Boi em pé,arroba,Pecuária,40.86,38.0,43.0,18,
2001-08-03,2001,8,3,Café em coco,kg renda,Café,1.47,1.4,1.54,10,
2001-08-03,2001,8,3,Erva-mate folha em barranco,arroba,Florestal,3.33,2.4,3.8,8,
2001-08-03,2001,8,3,Feijão carioca tipo 1,sc 60 Kg,Grãos,53.91,41.0,65.0,11,
2001-08-03,2001,8,3,Feijão preto tipo 1,sc 60 Kg,Grãos,69.67,60.0,80.0,9,
2001-08-03,2001,8,3,Frango de corte,kg,Pecuária,0.96,0.78,1.3,7,
2001-08-03,2001,8,3,Milho amarelo tipo 1,sc 60 Kg,Grãos,8.94,7.5,10.0,18,
2001-08-03,2001,8,3,Soja industrial tipo 1,sc 60 Kg,Grãos,23.27,22.5,24.5,18,
